displacement_cc,cylinder_count,engine_cycle,bore_mm,stroke_mm,fuel_system_type,fuel_injection,cooling_Air,cooling_Liquid,cooling_Oil & air,gear_count,is_automatic,transmission_Belt   (final drive),transmission_Chain   (final drive),transmission_Shaft drive (cardan)   (final drive),front_tyre_width,front_tyre_aspect,front_tyre_rim,rear_tyre_width,rear_tyre_aspect,rear_tyre_rim
347.0,1.0,4.0,69.0,93.0,Carburettor,0,1,0,0,4.0,0,0,1,0,,,,,,
347.0,1.0,4.0,69.0,93.0,Carburettor,0,1,0,0,4.0,0,0,1,0,,,,,,
347.0,1.0,4.0,69.0,93.0,Carburettor,0,1,0,0,4.0,0,0,1,0,,,,,,
347.0,1.0,4.0,69.0,93.0,Carburettor,0,1,0,0,4.0,0,0,1,0,,,,,,
347.0,1.0,4.0,69.0,93.0,Carburettor,0,1,0,0,4.0,0,0,1,0,,,,,,
347.0,1.0,4.0,69.0,93.0,Carburettor,0,1,0,0,4.0,0,0,1,0,,,,,,
347.0,1.0,4.0,69.0,93.0,Carburettor,0,1,0,0,4.0,0,0,1,0,,,,,,
498.0,1.0,4.0,86.0,85.5,Carburettor,0,1,0,0,4.0,0,0,1,0,,,,,,
498.0,2.0,4.0,66.0,72.8,Carburettor,0,1,0,0,4.0,0,0,1,0,,,,,,
498.0,2.0,4.0,66.0,72.8,Carburettor,0,1,0,0,4.0,0,0,1,0,,,,,,
498.0,2.0,4.0,66.0,72.8,Carburettor,0,1,0,0,4.0,0,0,1,0,,,,,,
498.0,2.0,4.0,66.0,72.8,Carburettor,0,1,0,0,4.0,0,0,1,0,,,,,,
498.0,2.0,4.0,66.0,72.8,Carburettor,0,1,0,0,4.0,0,0,1,0,,,,,,
498.0,2.0,4.0,66.0,72.8,Carburettor,0,1,0,0,4.0,0,0,1,0,,,,,,
498.0,2.0,4.0,66.0,72.8,Carburettor,0,1,0,0,4.0,0,0,1,0,,,,,,
498.0,2.0,4.0,66.0,72.8,Carburettor,0,1,0,0,4.0,0,0,1,0,,,,,,
593.0,2.0,4.0,72.0,72.8,Carburettor,0,1,0,0,4.0,0,0,1,0,,,,,,
646.0,2.0,4.0,72.0,79.3,Carburettor,0,1,0,0,4.0,0,0,1,0,,,,,,
646.0,2.0,4.0,72.0,79.3,Carburettor,0,1,0,0,4.0,0,0,1,0,,,,,,
646.0,2.0,4.0,72.0,79.3,Carburettor,0,1,0,0,4.0,0,0,1,0,,,,,,
124.6,1.0,4.0,52.4,57.8,Carburettor,0,1,0,0,,1,1,0,0,,,,,,
124.0,1.0,4.0,52.4,57.8,Carburettor,0,1,0,0,,1,1,0,0,,,,,,
125.0,1.0,4.0,52.4,57.8,Carburettor,0,1,0,0,,1,1,0,0,,,,,,
125.0,1.0,4.0,52.4,57.8,Carburettor,0,1,0,0,,1,1,0,0,,,,,,
49.0,1.0,4.0,39.0,41.5,Carburettor,0,1,0,0,,1,1,0,0,,,,,,
49.0,1.0,4.0,39.0,41.5,Carburettor,0,1,0,0,,1,1,0,0,,,,,,
124.0,2.0,4.0,44.0,40.0,Carburettor,0,0,1,0,5.0,0,0,1,0,90.0,90.0,18.0,130.0,90.0,15.0
124.0,2.0,4.0,44.0,40.0,Carburettor,0,0,1,0,5.0,0,0,1,0,90.0,90.0,18.0,130.0,90.0,15.0
124.0,2.0,4.0,44.0,40.0,Carburettor,0,0,1,0,5.0,0,0,1,0,100.0,80.0,17.0,130.0,70.0,17.0
124.0,2.0,4.0,44.0,40.0,Carburettor,0,0,1,0,5.0,0,0,1,0,100.0,80.0,17.0,130.0,70.0,17.0
124.0,1.0,4.0,56.0,49.0,Carburettor,0,1,0,0,5.0,0,0,1,0,110.0,70.0,17.0,150.0,60.0,17.0
124.0,1.0,4.0,56.0,49.0,Carburettor,0,1,0,0,5.0,0,0,1,0,110.0,70.0,17.0,150.0,60.0,17.0
49.0,1.0,4.0,39.0,41.4,Carburettor,0,1,0,0,4.0,0,0,1,0,,,,,,
49.0,1.0,4.0,39.0,41.1,Carburettor,0,1,0,0,4.0,0,0,1,0,,,,,,
49.0,1.0,4.0,39.0,41.4,Carburettor,0,1,0,0,4.0,0,0,1,0,,,,,,
320.0,2.0,4.0,62.0,53.0,Carburettor,0,0,1,0,5.0,0,0,1,0,90.0,90.0,21.0,60.0,80.0,16.0
124.6,2.0,4.0,44.0,40.0,Carburettor,0,0,1,0,5.0,0,0,1,0,90.0,90.0,18.0,130.0,90.0,15.0
124.6,2.0,4.0,44.0,40.0,Carburettor,0,0,1,0,5.0,0,0,1,0,90.0,90.0,18.0,130.0,90.0,15.0
124.6,2.0,4.0,44.0,40.0,Carburettor,0,0,1,0,5.0,0,0,1,0,90.0,90.0,18.0,130.0,90.0,15.0
234.0,2.0,4.0,53.0,53.0,Carburettor,0,0,1,0,5.0,0,0,1,0,90.0,90.0,18.0,130.0,90.0,15.0
124.6,2.0,4.0,44.0,40.0,Carburettor,0,0,1,0,5.0,0,0,1,0,80.0,90.0,21.0,160.0,80.0,16.0
124.6,2.0,4.0,44.0,40.0,Carburettor,0,0,1,0,5.0,0,0,1,0,90.0,90.0,21.0,160.0,80.0,16.0
320.0,2.0,4.0,62.0,53.0,Carburettor,0,0,1,0,5.0,0,0,1,0,100.0,90.0,18.0,130.0,80.0,17.0
124.6,1.0,4.0,52.4,57.8,Carburettor,0,1,0,0,,1,1,0,0,,,,,,
320.0,2.0,4.0,62.0,53.0,Carburettor,0,0,1,0,5.0,0,0,1,0,90.0,90.0,18.0,130.0,90.0,15.0
247.0,1.0,2.0,68.0,68.0,Carburettor,0,1,0,0,4.0,0,0,1,0,,,,,,
124.0,1.0,4.0,56.0,49.0,Carburettor,0,1,0,0,5.0,0,0,1,0,110.0,70.0,17.0,150.0,60.0,17.0
124.0,1.0,4.0,56.0,49.0,Carburettor,0,1,0,0,5.0,0,0,1,0,110.0,70.0,17.0,150.0,60.0,17.0
124.0,1.0,4.0,54.0,54.0,Injection,1,1,0,0,5.0,0,0,1,0,110.0,70.0,17.0,130.0,70.0,17.0
124.0,1.0,4.0,54.0,54.0,Injection,1,1,0,0,5.0,0,0,1,0,110.0,70.0,17.0,130.0,70.0,17.0
124.0,1.0,4.0,54.0,54.0,Injection,1,1,0,0,5.0,0,0,1,0,110.0,70.0,17.0,130.0,70.0,17.0
124.0,1.0,4.0,54.0,54.0,Injection,1,1,0,0,5.0,0,0,1,0,110.0,70.0,18.0,130.0,70.0,17.0
124.0,1.0,4.0,54.0,54.0,Injection,1,1,0,0,5.0,0,0,1,0,110.0,70.0,18.0,130.0,70.0,17.0
124.0,1.0,4.0,54.0,54.0,Injection,1,1,0,0,5.0,0,0,1,0,110.0,70.0,18.0,130.0,70.0,17.0
562.0,1.0,4.0,94.0,81.0,Carburettor,0,1,0,0,5.0,0,0,1,0,80.0,100.0,21.0,120.0,90.0,18.0
249.0,2.0,4.0,57.0,48.8,Injection,1,0,0,1,5.0,0,0,1,0,110.0,70.0,17.0,150.0,70.0,17.0
249.0,2.0,4.0,57.0,48.8,Injection,1,0,0,1,5.0,0,0,1,0,,,,,,
249.0,2.0,4.0,57.0,48.8,Injection,1,0,0,1,5.0,0,0,1,0,,,,,,
249.0,2.0,4.0,57.0,48.8,Injection,1,0,0,1,5.0,0,0,1,0,,,,,,
647.0,2.0,4.0,81.5,62.0,Injection,1,0,1,0,6.0,0,0,1,0,120.0,80.0,16.0,170.0,80.0,15.0
647.0,2.0,4.0,81.5,62.0,Injection,1,0,1,0,6.0,0,0,1,0,,,,,,
647.0,2.0,4.0,81.5,62.0,Injection,1,0,1,0,6.0,0,0,1,0,,,,,,
647.0,2.0,4.0,81.5,62.0,Injection,1,0,1,0,6.0,0,0,1,0,,,,,,
249.0,2.0,4.0,57.0,48.8,Injection,1,0,0,1,5.0,0,0,1,0,,,,,,
249.0,2.0,4.0,57.0,48.8,Injection,1,0,0,1,5.0,0,0,1,0,110.0,70.0,17.0,150.0,70.0,17.0
249.0,2.0,4.0,57.0,48.8,Injection,1,0,0,1,5.0,0,0,1,0,,,,,,
647.0,2.0,4.0,81.5,62.0,Injection,1,0,1,0,5.0,0,1,0,0,,,,,,
647.0,2.0,4.0,81.5,62.0,Injection,1,0,1,0,5.0,0,1,0,0,,,,,,
647.0,2.0,4.0,81.5,62.0,Injection,1,0,1,0,5.0,0,1,0,0,,,,,,
124.0,1.0,4.0,48.8,57.0,Carburettor,0,0,1,0,,1,1,0,0,120.0,70.0,14.0,140.0,70.0,14.0
124.0,1.0,4.0,48.8,57.0,Carburettor,0,0,1,0,,1,1,0,0,120.0,70.0,14.0,140.0,70.0,14.0
171.2,1.0,4.0,61.0,58.0,Injection,1,0,1,0,,1,1,0,0,120.0,70.0,14.0,140.0,70.0,14.0
124.0,1.0,4.0,48.8,57.0,Carburettor,0,0,1,0,,1,1,0,0,120.0,70.0,14.0,140.0,70.0,14.0
171.2,1.0,4.0,61.0,58.0,Injection,1,0,1,0,,1,1,0,0,120.0,70.0,14.0,140.0,70.0,14.0
100.0,1.0,2.0,50.0,50.0,Carburettor,0,1,0,0,3.0,0,0,1,0,,,,,,
100.0,1.0,2.0,50.0,50.0,Carburettor,0,1,0,0,3.0,0,0,1,0,,,,,,
247.0,2.0,2.0,54.0,54.0,Carburettor,0,1,0,0,4.0,0,0,1,0,,,,,,
250.0,2.0,2.0,54.0,54.0,Carburettor,0,1,0,0,4.0,0,0,1,0,,,,,,
250.0,2.0,2.0,54.0,54.0,Carburettor,0,1,0,0,4.0,0,0,1,0,,,,,,
250.0,2.0,2.0,54.0,54.0,Carburettor,0,1,0,0,4.0,0,0,1,0,,,,,,
124.0,1.0,4.0,52.4,57.8,Carburettor,0,1,0,0,,1,1,0,0,120.0,70.0,12.0,120.0,70.0,12.0
49.3,1.0,2.0,40.0,39.2,Carburettor,0,1,0,0,,1,1,0,0,120.0,90.0,10.0,120.0,90.0,10.0
49.3,1.0,2.0,40.0,39.2,Carburettor,0,1,0,0,,1,1,0,0,120.0,90.0,10.0,120.0,90.0,10.0
95.6,1.0,2.0,52.0,45.0,Carburettor,0,1,0,0,,1,1,0,0,120.0,70.0,12.0,120.0,70.0,12.0
346.0,1.0,4.0,82.0,65.5,Injection,1,0,1,0,,1,0,1,0,110.0,80.0,14.0,140.0,70.0,15.0
346.0,1.0,4.0,82.0,65.5,Injection,1,0,1,0,,1,0,1,0,110.0,80.0,14.0,140.0,70.0,15.0
346.0,1.0,4.0,82.0,65.5,Injection,1,0,1,0,,1,0,1,0,110.0,80.0,14.0,140.0,70.0,15.0
124.9,1.0,4.0,54.4,57.9,Injection,1,0,1,0,,1,0,1,0,90.0,90.0,10.0,90.0,90.0,10.0
169.0,1.0,4.0,61.0,57.8,Carburettor,0,0,1,0,,1,0,1,0,21.0,7.0,10.0,21.0,10.0,8.0
