Displacement,Engine type,Bore x stroke,Fuel system,Cooling system,Gearbox,Transmission type,Fuel capacity,Front tire,Rear tire,Front brakes,Rear brakes,displacement_cc,cylinder_count,engine_cycle,bore_mm,stroke_mm,fuel_system_type,fuel_injection,cooling_Air,cooling_Liquid,cooling_Oil & air,gear_count,is_automatic,transmission_Belt   (final drive),transmission_Chain   (final drive),transmission_Shaft drive (cardan)   (final drive),front_tyre_width,front_tyre_aspect,front_tyre_rim,rear_tyre_width,rear_tyre_aspect,rear_tyre_rim
411.0 ccm (25.08 cubic inches),"Single cylinder, four-stroke",78.0 x 86.0 mm (3.1 x 3.4 inches),"Carburettor. UCAL 29mm, Constant Vacuum Carburettor",Air,5-speed,Chain   (final drive),15.00,90/90-21 ,120/90-17 ,Single disc. Floating discs. Two-piston calipers. ,Single disc. Floating disc. Single-piston caliper. ,411.0,1.0,4.0,78.0,86.0,Carburettor,0,1,0,0,5.0,0,0,1,0,90.0,90.0,21.0,120.0,90.0,17.0
411.0 ccm (25.08 cubic inches),"Single cylinder, four-stroke",78.0 x 86.0 mm (3.1 x 3.4 inches),"Carburettor. UCAL 29mm, Constant Vacuum Carburettor",Air,5-speed,Chain   (final drive),15.00,90/90-21 ,120/90-17 ,Single disc. Floating discs. Two-piston calipers. ,Single disc. Floating disc. Single-piston caliper. ,411.0,1.0,4.0,78.0,86.0,Carburettor,0,1,0,0,5.0,0,0,1,0,90.0,90.0,21.0,120.0,90.0,17.0
411.0 ccm (25.08 cubic inches),"Single cylinder, four-stroke",78.0 x 86.0 mm (3.1 x 3.4 inches),Injection,Air,5-speed,Chain   (final drive),15.00,90/90-21 ,120/90-17 ,Single disc. Two-piston calipers. ,Single disc. Single-piston caliper. ,411.0,1.0,4.0,78.0,86.0,Injection,1,1,0,0,5.0,0,0,1,0,90.0,90.0,21.0,120.0,90.0,17.0
411.0 ccm (25.08 cubic inches),"Single cylinder, four-stroke",78.0 x 86.0 mm (3.1 x 3.4 inches),Injection,Air,5-speed,Chain   (final drive),15.00,90/90-21 ,120/90-17 ,Single disc. Two-piston calipers. ,Single disc. Single-piston caliper. ,411.0,1.0,4.0,78.0,86.0,Injection,1,1,0,0,5.0,0,0,1,0,90.0,90.0,21.0,120.0,90.0,17.0
411.0 ccm (25.08 cubic inches),"Single cylinder, four-stroke",78.0 x 86.0 mm (3.1 x 3.4 inches),Injection,Air,5-speed,Chain   (final drive),12.49,90/90-21 ,120/90-17 ,Single disc. Two-piston calipers. ABS.,Single disc. Single-piston caliper. ABS.,411.0,1.0,4.0,78.0,86.0,Injection,1,1,0,0,5.0,0,0,1,0,90.0,90.0,21.0,120.0,90.0,17.0
736.0 ccm (44.91 cubic inches),"Twin, four-stroke",71.0 x 93.0 mm (2.8 x 3.7 inches),Carburettor. Amal monoblocks,Air,4-speed,Chain   (final drive),17.03,3.25-19 ,3.00-19 ,Expanding brake (drum brake),Expanding brake (drum brake),736.0,2.0,4.0,71.0,93.0,Carburettor,0,1,0,0,4.0,0,0,1,0,,,,,,
648.0 ccm (39.54 cubic inches),"Twin, four-stroke",78.0 x 67.8 mm (3.1 x 2.7 inches),Injection,Air,6-speed,Chain   (final drive),13.70,100/90-18 ,130/70-18 ,Single disc. ABS,Single disc. ABS ,648.0,2.0,4.0,78.0,67.8,Injection,1,1,0,0,6.0,0,0,1,0,100.0,90.0,18.0,130.0,70.0,18.0
648.0 ccm (39.54 cubic inches),"Twin, four-stroke",78.0 x 67.8 mm (3.1 x 2.7 inches),Injection,Air,6-speed,Chain   (final drive),13.70,100/90-18 ,130/70-18 ,Single disc. ABS,Single disc. ABS ,648.0,2.0,4.0,78.0,67.8,Injection,1,1,0,0,6.0,0,0,1,0,100.0,90.0,18.0,130.0,70.0,18.0
648.0 ccm (39.54 cubic inches),"Twin, four-stroke",78.0 x 67.8 mm (3.1 x 2.7 inches),Injection,Air,6-speed,Chain   (final drive),13.70,100/90-18 ,130/70-18 ,Single disc. ABS,Single disc. ABS ,648.0,2.0,4.0,78.0,67.8,Injection,1,1,0,0,6.0,0,0,1,0,100.0,90.0,18.0,130.0,70.0,18.0
349.0 ccm (21.30 cubic inches),"Single cylinder, four-stroke",72.0 x 85.8 mm (2.8 x 3.4 inches),Injection,Oil & air,5-speed,Chain   (final drive),15.00,100/90-19 ,140/70-17 ,Single disc. ABS. Twin piston.,Single disc. ABS,349.0,1.0,4.0,72.0,85.8,Injection,1,0,0,1,5.0,0,0,1,0,100.0,90.0,19.0,140.0,70.0,17.0
